02:36:34,962 [DATABASE_LOGGER] DEBUG 89 [DEBUG] STARTING

02:36:35,646 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583856000.0), '196.72', '198.42', '195.54', '198.03', '14967.11897');

02:36:38,707 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583859900.0), '198.39', '199.75', '198.39', '199.73', '2406.64896');

02:36:38,860 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583860200.0), '199.73', '200.6', '199.4', '200.27', '8252.22297');

02:36:39,0 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583860500.0), '200.22', '200.29', '199.67', '200.01', '3490.67446');

02:36:39,160 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583860800.0), '200.01', '200.25', '199.73', '200.23', '2792.82645');

02:36:39,306 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583861100.0), '200.27', '200.53', '199.9', '200.36', '2835.54443');

02:36:39,437 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583861400.0), '200.39', '200.41', '199.29', '199.87', '2438.27412');

02:36:39,568 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583861700.0), '199.87', '199.87', '199.0', '199.19', '1134.33476');

02:36:39,697 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583862000.0), '199.19', '199.69', '199.1', '199.57', '2234.51943');

02:36:39,837 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583862300.0), '199.62', '199.81', '199.1', '199.13', '1713.71813');

02:36:39,997 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583862600.0), '199.13', '199.5', '198.69', '199.21', '3113.75317');

02:36:40,120 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583862900.0), '199.21', '201.6', '199.2', '201.23', '8738.64299');

