15:12:55,10 [DATABASE_LOGGER] DEBUG 89 [DEBUG] STARTING

15:12:55,910 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583987700.0), '181.81', '182.18', '181.43', '181.71', '6138.98834');
15:12:59,422 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584008100.0), '166.62', '166.69', '162.75', '163.47', '34118.17989');

15:12:59,467 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584008400.0), '163.4', '164.17', '162.0', '162.21', '24583.5138');

15:12:59,519 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584008700.0), '162.21', '164.19', '161.13', '163.18', '20813.62892');

15:12:59,569 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584009000.0), '163.01', '163.15', '159.51', '162.05', '38331.31322');

15:12:59,620 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584009300.0), '162.21', '162.21', '152.01', '154.69', '42770.61009');

15:12:59,672 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584009600.0), '153.58', '154.36', '143.43', '144.16', '40805.14981');

15:12:59,722 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584009900.0), '143.57', '144.16', '125.0', '143.05', '51132.58351');

15:12:59,771 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584010200.0), '143.03', '146.0', '135.0', '145.6', '47464.1094');

15:12:59,821 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584010500.0), '145.59', '151.11', '130.0', '132.91', '51703.33653');

15:12:59,872 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584010800.0), '132.91', '140.8', '123.0', '140.12', '55700.92248');

15:12:59,924 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584011100.0), '140.0', '145.0', '130.0', '142.59', '44651.56775');

15:12:59,976 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584011400.0), '142.59', '150.0', '134.0', '140.28', '53032.70846');

15:13:00,31 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584011700.0), '140.44', '142.59', '136.2', '140.83', '32079.76889');

15:13:00,82 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584012000.0), '140.84', '143.0', '138.75', '141.14', '31114.80218');

15:13:00,129 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584012300.0), '141.24', '141.68', '135.52', '139.93', '26507.25083');

15:13:00,181 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584012600.0), '139.93', '140.15', '137.45', '137.5', '16325.30011');

15:13:00,235 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584012900.0), '137.74', '139.28', '132.7', '135.96', '22982.67144');

15:13:00,287 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584013200.0), '135.73', '135.98', '126.25', '128.9', '27630.4539');

15:13:00,335 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584013500.0), '128.91', '135.44', '126.5', '131.41', '22579.79144');

15:13:00,389 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584013800.0), '131.61', '137.21', '131.01', '134.64', '25754.2285');

15:13:00,438 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584014100.0), '134.43', '136.59', '132.54', '136.59', '25077.92846');

15:13:00,495 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584014400.0), '136.45', '140.26', '135.19', '136.23', '21036.8643');

15:13:00,548 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584014700.0), '136.17', '137.75', '134.01', '136.1', '13534.03973');

15:13:00,599 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584015000.0), '136.31', '140.15', '136.01', '140.15', '14835.17471');

15:13:00,650 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584015300.0), '140.09', '142.52', '138.49', '141.59', '32808.49126');

15:13:00,700 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584015600.0), '141.74', '142.22', '139.44', '140.27', '27698.51319');

15:13:00,752 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584015900.0), '140.34', '141.0', '138.5', '139.58', '23073.62053');

15:13:00,805 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584016200.0), '139.59', '140.5', '138.3', '139.97', '18127.65651');

15:13:00,866 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584016500.0), '139.99', '141.0', '138.4', '138.82', '18455.67888');

15:13:00,917 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584016800.0), '138.82', '139.81', '137.46', '138.07', '16256.01441');

15:13:00,966 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584017100.0), '138.16', '138.69', '135.09', '135.94', '20637.92176');

15:13:01,8 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584017400.0), '135.93', '137.99', '135.0', '136.13', '18210.49642');

