"timestamp","open","high","low","close","volume","twocrows_value","threeblackcrows_value","threeinside_value","threelinestrike_value","threeoutside_value","threestarsinsouth_value","threewhitesoldiers_value","abs_value","acos_value","ad_value","adosc_value","advanceblock_value","adx_value","adxr_value","ao_value","apo_value","aroon_valuearoondown","aroon_valuearoonup","aroonosc_value","asin_value","atan_value","atr_value","avgprice_value","bbands_valueupperband","bbands_valuemiddleband","bbands_valuelowerband","belthold_value","beta_value","bop_value","breakaway_value","cci_value","ceil_value","closingmarubozu_value","cmf_value","cmo_value","concealbabyswall_value","correl_value","cos_value","cosh_value","counterattack_value","darkcloudcover_value","dema_value","div_value","doji_value","dojistar_value","dragonflydoji_value","dx_value","emv_value","engulfing_value","eveningdojistar_value","eveningstar_value","exp_value","fibonacciretracement_value","fisher_fisher","fisher_fisher_signal","floor_value","gapsidesidewhite_value","gravestonedoji_value","harami_value","hammer_value","hangingman_value","haramicross_value","hikkake_value","highwave_value","hma_value","homingpigeon_value","identicalthreecrows_value","invertedhammer_value","inneck_value","kicking_value","kama_value","linregintercept_value","ln_value","log10_value","longleggeddoji_value","longline_value","ma_value","mama_valuemama","mama_valuefama","macdfix_valuemacd","macdfix_valuemacdsignal","macdfix_valuemacdhist","marubozu_value","mass_value","matchinglow_value","mathold_value","max_value","midpoint_value","midprice_value","min_value","minindex_value","minmax_valuemin","minmax_valuemax","mfi_value","maxindex_value","medprice_value","morningstar_value","mom_value","morningdojistar_value","msw_msw_sine","msw_msw_lead","mul_value","natr_value","mult_value","nvi_value","obv_value","onneck_value","pd_value","piercing_value","ppo_value","priorswinghigh_valueclose","priorswinghigh_valuehigh","pvi_value","rickshawman_value","qstick_value","risefallthreemethods_value","roc_value","rocp_value","rocr_value","rocr100_value","round_value","rsi_value","sar_value","sarext_value","shootingstar_value","shortline_value","sin_value","sinh_value","sma_value","spinningtop_value","sqrt_value","stalledpattern_value","stddev_value","sticksandwich_value","stochrsi_valuefastk","stochrsi_valuefastd","stoch_valueslowk","stoch_valueslowd","stochtv_valuek","stochtv_valued","sum_value","sub_value","tthree_value","takuri_value","tan_value","tanh_value","tasukigap_value","tema_value","tdsequential_buysetupindex","tdsequential_sellsetupindex","tdsequential_buycoundownindex","tdsequential_sellcoundownindex","tdsequential_countdownindexisequaltopreviouselement","tdsequential_sellsetup","tdsequential_buysetup","tdsequential_sellsetupperfection","tdsequential_buysetupperfection","tdsequential_bearishflip","tdsequential_bullishflip","tdsequential_tdstbuy","tdsequential_tdstsell","tdsequential_countdownresetfortdst","thrusting_value","todeg_value","tr_value","trange_value","torad_value","trima_value","tristar_value","trix_value","trunc_value","typprice_value","tsf_value","uniquethreeriver_value","upsidegaptwocrows_value","ultosc_value","var_value","vhf_value","volatility_value","wad_value","wclprice_value","wcprice_value","willr_value","wma_value","xsidegapthreemethods_value"
"2020-03-10 21:20:00",202.87,203.5,202.84,203.16,1160,"0","0","0","0","0","0","0","203.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2020-03-10 21:15:00",203.07,203.19,202.87,202.87,1395,"0","0","0","0","0","0","0","202.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2020-03-10 21:05:00",203.03,203.03,202.58,202.98,1219,"0","0","0","0","0","0","0","202.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2020-03-10 21:00:00",202.97,203.05,202.7,203.02,3568,"0","0","0","0","0","0","0","203.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2020-03-10 20:55:00",203.1,203.16,202.43,203,1742,"0","0","0","0","0","0","0","203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2020-03-10 20:50:00",203.33,203.36,202.67,203.15,1085,"0","0","0","0","0","0","0","203.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2020-03-10 20:40:00",203.25,204.01,203.22,203.9,4441,"0","0","0","0","0","0","0","203.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2020-03-10 20:35:00",202.74,203.28,202.74,203.26,1632,"0","0","0","0","0","0","0","203.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2020-03-10 20:30:00",202.32,202.99,202.32,202.73,1021,"0","0","0","0","0","0","0","202.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2020-03-10 20:25:00",202.22,202.57,201.94,202.31,2203,"0","0","0","0","0","0","0","202.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
